customer_text,support_response,suggested_intent,intent,escalation,escalation_reason
"message pops up every two minutes, but my iphone is up to date according to settings. please advise on how to correct this?",2014269,HOW_TO_OTHER,,,
Hey how do I my Settings configurations an app from my old phone that’s saved on the iCloud ?,2111490,HOW_TO_OTHER,,,
Every fucking time I go to my settings I see this shit and it makes me sick and pissed like Can I change my name and contact info ? Like for real I made this account when I was 18,2341810,HOW_TO_OTHER,,,
how can i remove the payment info in my phone??? huhuhu,2945672,HOW_TO_OTHER,,,
I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,5817,HOW_TO_OTHER,,,
"Since this morning, I seem to get iMessages on my Mac, but not on my iPhone... I didn't change anything in my settings... How can I fix this?",2322545,HOW_TO_OTHER,,,
"my iPhone 6S running 11.03 now runs slowly, especially the UI. I reset settings. what else can I do, ?",1020998,HOW_TO_OTHER,,,
hi. I got a red 1 in General settings and yet my iPad Air 2 tells me that iOS 11.1.1 is up to date. How to update to 11.1.2?,2639712,HOW_TO_OTHER,,,
"Yup. Am a member. Normally make updates on iTunes on the comp, listen on-the-go on my phone. The iCloud Lib on/off button turns on and then back to off once I leave Settings. Since yest morning. Haven’t made any setting/other changes. Normal operation",81977,HOW_TO_OTHER,,,
"Could you please advise on how to fix visual voicemail, if resetting network settings doesn’t work?",486205,HOW_TO_OTHER,,,
how do I fix the screen rotation bug in iOS 11? Nothing seems to rotate to landscape (and yes I have checked the rotate lock setting). Thanks.,2915973,HOW_TO_OTHER,,,
Thank you! My phone was set to backup when the device was plugged in to charge rather than manual backup. How can I check these settings?,407939,HOW_TO_OTHER,,,
My iPhone6s is still not using the ringtone saved in settings just a default ring even after backup & update wtf,2944488,HOW_TO_OTHER,,,
Yes it’s already signed into the ID I’ve changed it on the settings but it’s still asking for my old number when trying to make a purchase on the App Store,2944513,HOW_TO_OTHER,,,
Yo how to I get my events into my calendar on the iPhone 8? I have selected 'Facebook events' in the Calendars settings but I appears to only import some events?,2295916,HOW_TO_OTHER,,,
how do I get help with Apple TV - settings changed from UK to Spanish,2295852,HOW_TO_OTHER,,,
Apple-iphone definitely was hacked-THOUSANDS of gigs of #photos #disappeared overnight,1767395,SECURITY,,,
this is a scam/phishing right?,1503994,SECURITY,,,
ICloud has been hacked by a very sick person. PLEASE PLEASE help her get it back immediately. I love u Amy!,301561,SECURITY,,,
iCloud hacked & am now locked out of my Mac which now asks for a 6 digit pin or to contact support on __email__...,195948,SECURITY,,,
Someone hacked my iPhone and used find my iPhone to get my location on ALL my devices 2 factor authentication was on,187657,SECURITY,,,
"I know my account isn’t hacked or anything, someone would have to be on my phone to do this. I can’t cancel them, and I have no idea how they got there.",566711,SECURITY,,,
the “I” on my keyboard is autocorrecting to a weird A + symbol of ? in a box. #help #iPhone #respond #feelinghacked,1472789,SECURITY,,,
Literally hate right now!!! Have to censor the use of a certain letter. Feel like my phone got hacked!!!😭😭😭,1726625,SECURITY,,,
Hey I’ve dmed you. Please check it. I think my macbook is hacked,1020988,SECURITY,,,
As much as I love I’m about to switch... my account has been hacked for MONTHS!! I’m so pissed. So much money stolen.,172953,SECURITY,,,
Um is this legit? I don’t want to get hacked but don’t want to get locked out like this is threatening,959707,SECURITY,,,
Thanks! Phishing scam for sure!,1156773,SECURITY,,,
hi. I got this email from what claims to be Apple Security. Email address is dubious. Could be phishing.,852886,SECURITY,,,
"received email that seems fraudulent. Says my ID used in Mexico. Have not been in Mex. My computer is ""suspicious"" of the link to unlock. Need help but it's getting late in UK. Help?",112840,SECURITY,,,
I think my phone is hacked after I updated the new IOS. I know a lot of other people having same issue,1818503,SECURITY,,,
for the past few days I’ve been getting #phishing emails sent re: Apple account how do I alert #apple that their systems may have be hacked?,2346098,SECURITY,,,
how do i reset my appleID if the phone number registered to MY ID is one I do not recognized? #hacked #PLEASEHELP,1650091,SECURITY,,,
"Me, too! I️ thought my phone had been hacked. Please help .",1683456,SECURITY,,,
"So my apple iD just got hacked and obviously, I got an African mum. Can we sort this before she scroll's down OUR contacts? :/",955696,SECURITY,,,
Somebody hacked my Apple account and ain’t doing nothing to fix it.,889064,SECURITY,,,
